Date,04892-00,18135-00,18463-00,18464-00,18466-00,31863-00,31888-00,31954-00,L_N_U
1/31/2017,7.49,12.9,20.04,13.69,13,12.6,12.35,15.3,-526
2/1/2017,6.31,13.46,20.54,14.34,13.48,13.14,12.89,16.42,-508
2/2/2017,7.06,16.67,21.96,17.58,16.72,16.75,16.53,18.87,-723
2/3/2017,7.19,17.09,21.75,17.89,17.19,16.89,16.67,19.65,-638
2/4/2017,6.89,16.62,21.36,17.44,16.74,16.29,16.08,18.91,-685
2/5/2017,6.11,15.93,20.76,16.92,16.04,15.63,15.42,18.29,-815
2/6/2017,6.4,16.23,22.07,17.17,16.26,15.91,15.67,18.64,-796
2/7/2017,6.66,16.55,20.8,17.48,16.66,17.05,18.25,18.68,-834
2/8/2017,7.18,25.01,22.36,18.61,17.8,17.74,17.75,20.21,-967
2/9/2017,7.34,18.25,23.02,18.65,17.81,17.74,17.73,19.85,-995
2/10/2017,7.5,17.78,23.08,18.56,17.73,17.67,17.67,20.2,-1029
2/11/2017,7.6,17.76,22.52,18.72,17.8,17.72,17.71,20.01,-1145
2/13/2017,7.28,17.14,22.71,19.22,17.31,17.24,17.18,19.59,-1179
2/22/2017,6.17,7.16,10.12,8.45,7.22,7.97,12.76,10.48,-1035
2/23/2017,5.77,6.92,9.61,7.1,6.83,6.61,12.56,10.73,-844
2/24/2017,4.87,0.88,1.75,5.57,31.55,5.16,11.52,-0.06,-108
2/25/2017,4.02,0.56,0.47,26.39,25.62,30.31,5.62,0.02,64
2/26/2017,3.91,0.86,0.27,24.65,25.47,29.59,4.84,-0.05,118
2/27/2017,3.95,1.25,0.12,24.34,25.45,29.52,4.61,-0.03,106
2/28/2017,3.96,8.74,3.59,15.11,25.44,29.58,3.63,-0.04,-1
3/1/2017,4.13,11.92,11.25,11.9,25.51,15.05,17.17,0.06,518
3/2/2017,5.63,17.18,20.59,22.27,21.85,20.58,20.47,25.53,-182
3/3/2017,6.07,20.83,21.83,21.58,21.75,22.29,22.16,25.73,-368
3/4/2017,6.16,21.43,22.14,21.95,22.2,22.57,22.56,24.42,-527
3/5/2017,6.94,21.5,21.33,22.44,21.53,22.82,22.67,24.19,-425
3/7/2017,15.67,26.64,26.89,27.28,26.63,27.2,27.1,29.58,-227
3/8/2017,8.75,21.49,22.15,23.1,23.73,23.09,22.94,26.62,40
3/9/2017,4.65,19.36,19.29,20.37,19.55,20.52,20.41,0.04,-205
3/10/2017,4.66,19.74,19.66,20.74,19.88,20.96,20.87,0.06,-222
3/11/2017,4.64,19.5,19.46,20.57,19.66,20.8,20.72,0.04,-201
3/12/2017,4.68,19.29,19.26,20.33,19.45,20.54,20.44,0.08,-194
3/13/2017,6.92,21.3,28.22,21.31,22,20.94,21.43,0.08,-271
3/14/2017,4.66,18.27,18.23,19.34,18.35,19.52,19.45,0.07,-449
3/18/2017,4.71,18.21,18.24,19.47,18.32,19.37,19.28,24.75,-401
3/19/2017,4.68,18.18,18.42,19.34,18.47,19.12,19.03,22.24,-374
3/20/2017,4.63,17.27,17.62,18.63,17.71,18.33,18.29,20.17,-290
3/21/2017,6.11,17.05,18.14,19.28,18.15,18.91,18.85,20.52,-325
3/22/2017,4.61,17.62,17.46,18.56,17.5,18.38,18.3,19.85,-284
3/23/2017,4.52,17.8,18.01,19.04,18.04,19.07,19,20.64,-273
3/24/2017,4.56,18.25,18.6,19.54,18.6,19.78,19.85,20.72,-271
3/25/2017,4.65,18.64,18.94,19.88,18.93,20.27,20.13,21.28,-264
3/26/2017,4.55,19.5,19.84,20.84,19.84,21.16,21.05,21.99,-245
3/27/2017,4.56,19.48,19.7,20.76,19.71,21.04,20.91,21.68,-209
3/28/2017,4.49,18.97,19.25,20.28,19.26,20.68,20.66,21.25,-258
3/29/2017,4.59,19.64,19.9,20.93,19.97,21.2,20.98,22.01,-256
3/30/2017,5.24,19.75,20.02,21.1,20.07,21.04,21.01,22.21,-193
3/31/2017,4.52,19.18,19.72,20.44,19.37,20.22,20.21,21.42,-223
4/1/2017,4.54,19.56,19.35,20.55,19.51,20.39,20.85,21.43,409
4/2/2017,4.59,19.16,19.19,20.2,19.38,20.15,20.97,21.29,-374
4/3/2017,4.52,18.89,18.86,20.01,19.12,19.95,20.17,21.18,-375
4/4/2017,4.53,18.56,18.51,19.73,18.83,19.66,20.21,20.79,-382
4/5/2017,4.73,19.06,20.9,20.09,19.25,19.98,20.61,21.07,-397
4/6/2017,4.69,19.23,20.3,20.39,19.37,20.22,20.99,21.37,-316
4/7/2017,4.64,18.69,20.25,19.95,19.04,19.84,20.68,21.31,-277
4/8/2017,4.57,19.33,20.51,20.4,19.19,20.32,20.92,21.34,-354
4/9/2017,4.54,18.22,19.61,19.64,18.26,19.42,19.88,20.7,-626
4/10/2017,4.61,17.87,19.31,19.24,17.95,19.01,19.5,20.27,-603
4/11/2017,4.68,18,19.26,19.31,18.05,19.08,19.45,20.51,-692
4/12/2017,4.67,17.82,19.37,19.14,17.94,18.91,19.15,20.45,-715
4/13/2017,9.01,20.84,21.97,21.9,20.1,21.71,21.65,23.42,-792
4/14/2017,4.61,17.69,19.61,18.92,17.73,18.69,18.88,20.12,-679
4/15/2017,4.59,17.44,19.35,18.78,17.51,18.44,18.62,19.98,-669
4/16/2017,4.6,18.05,19.69,19.09,17.91,18.79,18.96,20.36,-687
4/17/2017,4.62,18.77,19.42,19.31,18.13,19.02,19.19,20.39,-700
4/18/2017,4.62,18.03,19.71,19.37,18.18,19.04,19.18,20.37,-462
4/19/2017,4.61,18.07,19.77,19.35,18.1,18.98,19.22,20.43,-233
4/20/2017,4.59,19.69,19.42,19.49,18.26,19.17,19.38,20.74,-284
4/21/2017,4.54,18.9,20.85,20.48,19.23,20.16,20.29,21.83,-346
4/22/2017,4.69,20.17,21.79,21.45,20.27,21.17,21.27,22.75,-371
4/23/2017,4.71,20.92,22.59,22.23,21.14,21.78,22.03,23.17,-338
4/24/2017,4.53,21.94,23.4,22.7,21.8,22.36,22.39,23.73,-307
4/25/2017,4.08,21.4,22.81,22.22,21.14,21.85,21.97,23.22,-196
4/28/2017,4.08,20.99,22.55,22.39,21.29,0.18,22.02,23.44,-267
4/29/2017,4.51,21.39,23.07,22.37,21.36,-0.14,22.07,23.48,-211
4/30/2017,4.6,21.24,22.51,22.33,21.23,-0.14,22.05,23.47,-173
5/1/2017,4.66,21.59,22.91,22.66,21.66,22.5,22.41,23.72,1232
5/2/2017,4.76,21.72,23.15,22.67,21.64,22.57,22.47,23.5,-517
5/3/2017,4.84,21.16,22.69,22.21,21.2,22.2,22.13,23.3,-510
5/4/2017,5.03,21.27,23.19,22.46,21.42,22.53,0.53,23.27,-493
5/5/2017,5.02,20.95,22.27,22.19,21.01,22.54,-0.05,23.34,-443
5/6/2017,4.9,20.34,21.88,21.63,20.48,21.78,24.87,22.79,-443
5/7/2017,4.88,20.46,21.8,21.66,20.55,22.11,25.65,22.82,-443
5/8/2017,4.89,20.31,21.81,21.67,20.59,22.17,24.18,22.84,-277
